,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donte DiVincenzo,MIL,2018-10-17,CHO,201810170CHO,22.067,3,6,.500,2,4,.500,0,0,,1,1,2,1,1,0,1,0,8,-9
John Henson,MIL,2018-10-17,CHO,201810170CHO,12.0,1,3,.333,0,0,,2,2,1.000,2,4,6,0,0,1,2,1,4,+2
Tony Snell,MIL,2018-10-17,CHO,201810170CHO,11.333,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,0,0,+1
Christian Wood,MIL,2018-10-17,CHO,201810170CHO,4.95,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-3
Sterling Brown,MIL,2018-10-17,CHO,201810170CHO,0.117,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Matthew Dellavedova,MIL,2018-10-17,CHO,201810170CHO,0.0,,,,,,,,,,,,,,,,,,,
Pat Connaughton,MIL,2018-10-17,CHO,201810170CHO,0.0,,,,,,,,,,,,,,,,,,,
Kemba Walker,CHO,2018-10-17,CHO,201810170CHO,38.65,15,29,.517,7,13,.538,4,5,.800,1,1,2,4,2,0,3,0,41,-1
Nicolas Batum,CHO,2018-10-17,CHO,201810170CHO,31.817,2,8,.250,1,4,.250,0,0,,1,6,7,3,2,2,2,1,5,-4
Marvin Williams,CHO,2018-10-17,CHO,201810170CHO,25.85,2,7,.286,1,6,.167,0,2,.000,1,8,9,1,0,4,1,2,5,-4
Cody Zeller,CHO,2018-10-17,CHO,201810170CHO,21.1,1,1,1.000,1,1,1.000,2,2,1.000,0,3,3,1,1,0,0,3,5,-11
Jeremy Lamb,CHO,2018-10-17,CHO,201810170CHO,20.8,4,11,.364,2,4,.500,0,0,,2,0,2,1,1,0,0,2,10,-6
Malik Monk,CHO,2018-10-17,CHO,201810170CHO,33.583,7,16,.438,4,8,.500,0,0,,0,4,4,2,1,2,0,1,18,+5
Michael Kidd-Gilchrist,CHO,2018-10-17,CHO,201810170CHO,21.633,3,6,.500,0,0,,4,6,.667,3,3,6,1,0,1,1,3,10,+3
Tony Parker,CHO,2018-10-17,CHO,201810170CHO,19.8,4,8,.500,0,0,,0,0,,0,3,3,7,0,0,2,2,8,+5
Miles Bridges,CHO,2018-10-17,CHO,201810170CHO,14.5,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,2,1,+6
Willy Hernangómez,CHO,2018-10-17,CHO,201810170CHO,12.267,3,5,.600,0,1,.000,3,5,.600,1,4,5,0,1,0,1,3,9,+2
Dwayne Bacon,CHO,2018-10-17,CHO,201810170CHO,0.0,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,CHO,2018-10-17,CHO,201810170CHO,0.0,,,,,,,,,,,,,,,,,,,
Frank Kaminsky,CHO,2018-10-17,CHO,201810170CHO,0.0,,,,,,,,,,,,,,,,,,,
Joe Harris,BRK,2018-10-17,DET,201810170DET,37.133,6,14,.429,1,7,.143,0,0,,0,6,6,5,1,0,2,2,13,-2
Jared Dudley,BRK,2018-10-17,DET,201810170DET,35.85,0,5,.000,0,4,.000,1,2,.500,2,1,3,3,3,0,0,5,1,-8
Caris LeVert,BRK,2018-10-17,DET,201810170DET,33.983,10,18,.556,0,2,.000,7,8,.875,1,3,4,4,1,1,3,2,27,-10
Jarrett Allen,BRK,2018-10-17,DET,201810170DET,30.15,6,10,.600,2,3,.667,3,4,.750,2,8,10,0,0,4,2,4,17,-9
D'Angelo Russell,BRK,2018-10-17,DET,201810170DET,24.967,3,9,.333,1,4,.250,1,2,.500,0,2,2,5,1,0,2,1,8,-9
Spencer Dinwiddie,BRK,2018-10-17,DET,201810170DET,32.283,10,18,.556,0,3,.000,3,5,.600,0,4,4,6,1,0,4,1,23,+6
Ed Davis,BRK,2018-10-17,DET,201810170DET,17.6,4,4,1.000,0,0,,0,1,.000,0,7,7,3,1,0,2,2,8,+8
Treveon Graham,BRK,2018-10-17,DET,201810170DET,17.417,0,2,.000,0,2,.000,0,0,,0,2,2,1,1,0,1,4,0,+6
Rodions Kurucs,BRK,2018-10-17,DET,201810170DET,10.617,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,2,3,+3
Džanan Musa,BRK,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Kenneth Faried,BRK,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Theo Pinson,BRK,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Reggie Jackson,DET,2018-10-17,DET,201810170DET,35.017,7,20,.350,2,9,.222,3,3,1.000,1,1,2,4,1,0,2,1,19,+3
Blake Griffin,DET,2018-10-17,DET,201810170DET,34.283,8,17,.471,1,1,1.000,9,11,.818,2,6,8,6,0,0,1,0,26,+8
Andre Drummond,DET,2018-10-17,DET,201810170DET,32.2,10,21,.476,1,3,.333,3,4,.750,9,11,20,2,0,1,4,5,24,-9
Luke Kennard,DET,2018-10-17,DET,201810170DET,19.35,3,5,.600,1,1,1.000,0,0,,0,4,4,0,0,1,1,1,7,-1
Bruce Brown,DET,2018-10-17,DET,201810170DET,18.867,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,1,1,4,0,+6
Langston Galloway,DET,2018-10-17,DET,201810170DET,33.0,2,5,.400,0,3,.000,2,2,1.000,0,3,3,1,0,0,0,0,6,-5
Ish Smith,DET,2018-10-17,DET,201810170DET,28.75,5,11,.455,1,3,.333,0,0,,0,0,0,3,0,0,1,4,11,+4
Glenn Robinson,DET,2018-10-17,DET,201810170DET,20.067,2,3,.667,0,1,.000,0,0,,0,0,0,0,1,1,1,0,4,0
Zaza Pachulia,DET,2018-10-17,DET,201810170DET,14.717,2,6,.333,0,0,,2,2,1.000,2,5,7,4,2,1,2,5,6,+9
Zach Lofton,DET,2018-10-17,DET,201810170DET,3.75,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,0
José Calderón,DET,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Jon Leuer,DET,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Reggie Bullock,DET,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Henry Ellenson,DET,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Stanley Johnson,DET,2018-10-17,DET,201810170DET,0.0,,,,,,,,,,,,,,,,,,,
Marc Gasol,MEM,2018-10-17,IND,201810170IND,30.183,2,11,.182,2,3,.667,7,8,.875,1,5,6,3,3,0,0,0,13,-8
Mike Conley,MEM,2018-10-17,IND,201810170IND,28.967,3,11,.273,2,5,.400,3,3,1.000,1,1,2,3,1,0,1,1,11,-11
JaMychal Green,MEM,2018-10-17,IND,201810170IND,24.983,4,7,.571,1,2,.500,0,0,,2,5,7,2,2,0,1,2,9,-29
Garrett Temple,MEM,2018-10-17,IND,201810170IND,24.5,4,13,.308,4,8,.500,0,0,,0,0,0,2,0,1,1,4,12,-6
Chandler Parsons,MEM,2018-10-17,IND,201810170IND,22.55,3,9,.333,0,5,.000,0,0,,0,1,1,0,1,1,0,3,6,-19
Shelvin Mack,MEM,2018-10-17,IND,201810170IND,29.917,1,8,.125,0,1,.000,1,2,.500,1,2,3,3,1,0,1,3,3,-20
Jaren Jackson,MEM,2018-10-17,IND,201810170IND,25.3,2,6,.333,0,1,.000,6,6,1.000,2,3,5,1,3,1,0,2,10,-21
MarShon Brooks,MEM,2018-10-17,IND,201810170IND,22.067,2,9,.222,0,3,.000,5,7,.714,0,2,2,1,0,0,0,0,9,-7
Kyle Anderson,MEM,2018-10-17,IND,201810170IND,19.25,2,6,.333,0,0,,1,2,.500,0,2,2,1,0,0,2,2,5,-11
Dillon Brooks,MEM,2018-10-17,IND,201810170IND,6.283,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-9
Wayne Selden,MEM,2018-10-17,IND,201810170IND,6.0,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+1
Ivan Rabb,MEM,2018-10-17,IND,201810170IND,0.0,,,,,,,,,,,,,,,,,,,
Omri Casspi,MEM,2018-10-17,IND,201810170IND,0.0,,,,,,,,,,,,,,,,,,,
Thaddeus Young,IND,2018-10-17,IND,201810170IND,27.717,5,7,.714,0,1,.000,0,1,.000,3,5,8,3,0,1,3,2,10,+23
Bojan Bogdanović,IND,2018-10-17,IND,201810170IND,27.1,7,9,.778,3,3,1.000,2,2,1.000,0,6,6,0,0,0,3,0,19,+8
Victor Oladipo,IND,2018-10-17,IND,201810170IND,25.783,6,11,.545,3,6,.500,1,2,.500,0,5,5,5,0,0,3,3,16,+9
Darren Collison,IND,2018-10-17,IND,201810170IND,21.483,0,5,.000,0,1,.000,0,0,,0,1,1,5,0,0,3,4,0,-1
Myles Turner,IND,2018-10-17,IND,201810170IND,20.367,4,8,.500,0,0,,0,0,,3,5,8,1,0,4,1,3,8,+7
Domantas Sabonis,IND,2018-10-17,IND,201810170IND,28.55,7,11,.636,0,0,,0,2,.000,6,9,15,2,0,0,3,3,14,+26
Cory Joseph,IND,2018-10-17,IND,201810170IND,28.283,5,7,.714,1,2,.500,0,0,,0,6,6,3,1,2,2,3,11,+28
