,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Allen Crabbe,BRK,2018-11-12,MIN,201811120MIN,23.933,2,9,.222,1,5,.200,1,1,1.000,0,0,0,0,2,0,2,1,6,-4
DeMarre Carroll,BRK,2018-11-12,MIN,201811120MIN,23.783,3,8,.375,2,6,.333,3,4,.750,1,4,5,2,0,0,3,1,11,-13
Ed Davis,BRK,2018-11-12,MIN,201811120MIN,21.3,2,4,.500,0,0,,3,4,.750,8,6,14,2,1,0,0,4,7,+1
Shabazz Napier,BRK,2018-11-12,MIN,201811120MIN,4.2,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,4,-5
Kenneth Faried,BRK,2018-11-12,MIN,201811120MIN,0.0,,,,,,,,,,,,,,,,,,,
Jarrett Allen,BRK,2018-11-12,MIN,201811120MIN,0.0,,,,,,,,,,,,,,,,,,,
Rodions Kurucs,BRK,2018-11-12,MIN,201811120MIN,0.0,,,,,,,,,,,,,,,,,,,
Derrick Rose,MIN,2018-11-12,MIN,201811120MIN,38.933,8,18,.444,3,5,.600,4,4,1.000,0,2,2,6,1,1,3,0,23,+3
Andrew Wiggins,MIN,2018-11-12,MIN,201811120MIN,37.5,5,12,.417,2,3,.667,1,2,.500,1,5,6,3,1,1,2,2,13,+7
Karl-Anthony Towns,MIN,2018-11-12,MIN,201811120MIN,37.2,9,11,.818,2,2,1.000,5,6,.833,2,19,21,3,1,2,10,5,25,+7
Jeff Teague,MIN,2018-11-12,MIN,201811120MIN,34.6,8,14,.571,0,3,.000,8,9,.889,0,1,1,11,3,0,4,2,24,+10
Taj Gibson,MIN,2018-11-12,MIN,201811120MIN,33.217,5,8,.625,0,0,,7,8,.875,3,6,9,1,1,1,2,4,17,+12
Josh Okogie,MIN,2018-11-12,MIN,201811120MIN,19.567,3,7,.429,1,4,.250,1,2,.500,0,4,4,1,0,1,1,1,8,+4
Anthony Tolliver,MIN,2018-11-12,MIN,201811120MIN,14.783,1,4,.250,1,4,.250,0,0,,2,4,6,1,0,0,1,1,3,-5
Tyus Jones,MIN,2018-11-12,MIN,201811120MIN,13.4,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,0,1,2,-3
Gorgui Dieng,MIN,2018-11-12,MIN,201811120MIN,10.75,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,0
C.J. Williams,MIN,2018-11-12,MIN,201811120MIN,0.05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Luol Deng,MIN,2018-11-12,MIN,201811120MIN,0.0,,,,,,,,,,,,,,,,,,,
Keita Bates-Diop,MIN,2018-11-12,MIN,201811120MIN,0.0,,,,,,,,,,,,,,,,,,,
James Nunnally,MIN,2018-11-12,MIN,201811120MIN,0.0,,,,,,,,,,,,,,,,,,,
T.J. Warren,PHO,2018-11-12,OKC,201811120OKC,40.383,10,14,.714,1,2,.500,0,0,,0,6,6,0,2,1,1,0,21,-20
Devin Booker,PHO,2018-11-12,OKC,201811120OKC,37.017,7,18,.389,1,4,.250,4,4,1.000,2,2,4,6,0,0,3,3,19,-32
Deandre Ayton,PHO,2018-11-12,OKC,201811120OKC,34.583,6,10,.600,0,0,,2,2,1.000,2,5,7,2,0,1,5,4,14,-15
Trevor Ariza,PHO,2018-11-12,OKC,201811120OKC,28.517,3,9,.333,2,6,.333,0,0,,1,2,3,3,1,1,1,2,8,-22
Isaiah Canaan,PHO,2018-11-12,OKC,201811120OKC,22.533,0,3,.000,0,2,.000,1,2,.500,0,2,2,3,1,0,1,2,1,-14
Mikal Bridges,PHO,2018-11-12,OKC,201811120OKC,25.7,3,8,.375,1,4,.250,6,6,1.000,1,3,4,3,1,2,3,4,13,+13
Jamal Crawford,PHO,2018-11-12,OKC,201811120OKC,17.15,4,8,.500,2,5,.400,3,3,1.000,1,2,3,3,0,0,4,1,13,+8
Richaun Holmes,PHO,2018-11-12,OKC,201811120OKC,13.417,4,5,.800,0,0,,0,0,,3,4,7,0,0,0,0,4,8,-2
Elie Okobo,PHO,2018-11-12,OKC,201811120OKC,13.367,1,2,.500,0,1,.000,0,0,,0,0,0,5,0,0,0,1,2,+4
Josh Jackson,PHO,2018-11-12,OKC,201811120OKC,7.333,1,4,.250,0,2,.000,0,2,.000,0,1,1,0,0,0,0,0,2,-5
Ryan Anderson,PHO,2018-11-12,OKC,201811120OKC,0.0,,,,,,,,,,,,,,,,,,,
Troy Daniels,PHO,2018-11-12,OKC,201811120OKC,0.0,,,,,,,,,,,,,,,,,,,
Dragan Bender,PHO,2018-11-12,OKC,201811120OKC,0.0,,,,,,,,,,,,,,,,,,,
Paul George,OKC,2018-11-12,OKC,201811120OKC,35.65,11,19,.579,6,10,.600,4,4,1.000,1,7,8,6,0,0,4,3,32,+21
Dennis Schröder,OKC,2018-11-12,OKC,201811120OKC,35.633,6,19,.316,2,2,1.000,6,6,1.000,0,5,5,9,4,0,1,2,20,+20
Steven Adams,OKC,2018-11-12,OKC,201811120OKC,33.0,9,13,.692,0,0,,0,0,,5,2,7,1,4,2,3,1,18,+23
Jerami Grant,OKC,2018-11-12,OKC,201811120OKC,31.017,4,8,.500,1,2,.500,1,2,.500,1,7,8,0,0,1,1,0,10,+22
Terrance Ferguson,OKC,2018-11-12,OKC,201811120OKC,26.183,2,7,.286,1,3,.333,0,0,,1,2,3,0,0,1,0,2,5,+30
Álex Abrines,OKC,2018-11-12,OKC,201811120OKC,20.183,2,6,.333,2,6,.333,2,2,1.000,0,2,2,2,2,1,1,4,8,-11
Patrick Patterson,OKC,2018-11-12,OKC,201811120OKC,15.45,2,3,.667,1,2,.500,0,0,,1,0,1,1,0,0,0,0,5,-2
Nerlens Noel,OKC,2018-11-12,OKC,201811120OKC,15.0,3,6,.500,0,0,,3,3,1.000,3,3,6,1,0,1,0,1,9,-6
Hamidou Diallo,OKC,2018-11-12,OKC,201811120OKC,13.983,3,7,.429,0,1,.000,3,3,1.000,0,1,1,0,1,0,2,2,9,-6
Raymond Felton,OKC,2018-11-12,OKC,201811120OKC,10.833,1,4,.250,0,1,.000,0,0,,0,1,1,3,1,0,1,0,2,0
Deonte Burton,OKC,2018-11-12,OKC,201811120OKC,1.533,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Timothé Luwawu-Cabarrot,OKC,2018-11-12,OKC,201811120OKC,1.533,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Abdel Nader,OKC,2018-11-12,OKC,201811120OKC,0.0,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,SAS,2018-11-12,SAC,201811120SAC,36.9,8,17,.471,0,2,.000,7,8,.875,0,2,2,8,0,0,4,1,23,-6
LaMarcus Aldridge,SAS,2018-11-12,SAC,201811120SAC,33.767,6,12,.500,0,0,,2,2,1.000,3,15,18,0,0,3,4,1,14,-18
Dante Cunningham,SAS,2018-11-12,SAC,201811120SAC,29.117,4,7,.571,1,1,1.000,0,0,,4,3,7,0,1,0,1,3,9,-12
Bryn Forbes,SAS,2018-11-12,SAC,201811120SAC,29.017,4,11,.364,2,7,.286,0,0,,0,0,0,4,1,0,1,3,10,-11
Derrick White,SAS,2018-11-12,SAC,201811120SAC,26.183,4,10,.400,1,3,.333,2,2,1.000,0,0,0,5,1,0,1,0,11,-15
Patty Mills,SAS,2018-11-12,SAC,201811120SAC,21.817,2,8,.250,1,6,.167,0,0,,0,3,3,4,2,0,1,0,5,+10
Rudy Gay,SAS,2018-11-12,SAC,201811120SAC,20.667,6,12,.500,2,5,.400,0,0,,2,7,9,0,0,1,1,1,14,+10
Marco Belinelli,SAS,2018-11-12,SAC,201811120SAC,18.367,1,4,.250,0,2,.000,1,2,.500,0,0,0,1,0,0,1,1,3,-1
Jakob Pöltl,SAS,2018-11-12,SAC,201811120SAC,13.0,0,0,,0,0,,1,2,.500,0,4,4,1,0,0,0,2,1,+8
Dāvis Bertāns,SAS,2018-11-12,SAC,201811120SAC,7.817,3,4,.750,3,4,.750,0,0,,0,0,0,0,0,0,1,0,9,+2
Quincy Pondexter,SAS,2018-11-12,SAC,201811120SAC,2.55,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,+4
Chimezie Metu,SAS,2018-11-12,SAC,201811120SAC,0.8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Willie Cauley-Stein,SAC,2018-11-12,SAC,201811120SAC,32.183,6,14,.429,0,0,,1,2,.500,0,13,13,3,1,0,0,3,13,+7
De'Aaron Fox,SAC,2018-11-12,SAC,201811120SAC,30.917,7,9,.778,3,4,.750,2,4,.500,0,3,3,7,2,1,4,2,19,+4
Nemanja Bjelica,SAC,2018-11-12,SAC,201811120SAC,26.733,4,5,.800,3,3,1.000,0,0,,1,5,6,0,1,0,0,1,11,+3
Iman Shumpert,SAC,2018-11-12,SAC,201811120SAC,26.267,1,4,.250,0,2,.000,0,0,,0,2,2,2,3,0,0,3,2,+9
Buddy Hield,SAC,2018-11-12,SAC,201811120SAC,25.85,5,13,.385,2,5,.400,2,4,.500,1,1,2,4,2,0,1,1,14,+7
Bogdan Bogdanović,SAC,2018-11-12,SAC,201811120SAC,24.717,9,17,.529,3,7,.429,1,1,1.000,0,1,1,3,0,0,1,2,22,-7
Marvin Bagley,SAC,2018-11-12,SAC,201811120SAC,21.267,3,9,.333,0,2,.000,1,1,1.000,2,4,6,0,0,1,3,2,7,+2
Justin Jackson,SAC,2018-11-12,SAC,201811120SAC,19.167,0,2,.000,0,0,,0,0,,0,4,4,2,1,0,0,1,0,+1
Frank Mason,SAC,2018-11-12,SAC,201811120SAC,17.083,2,3,.667,0,1,.000,0,0,,1,1,2,5,1,1,0,0,4,+1
Harry Giles,SAC,2018-11-12,SAC,201811120SAC,15.817,6,10,.600,0,0,,0,0,,2,4,6,1,1,0,3,5,12,-2
Skal Labissière,SAC,2018-11-12,SAC,201811120SAC,0.0,,,,,,,,,,,,,,,,,,,
Yogi Ferrell,SAC,2018-11-12,SAC,201811120SAC,0.0,,,,,,,,,,,,,,,,,,,
Troy Williams,SAC,2018-11-12,SAC,201811120SAC,0.0,,,,,,,,,,,,,,,,,,,
Klay Thompson,GSW,2018-11-12,LAC,201811120LAC,45.317,13,31,.419,5,16,.313,0,0,,1,2,3,2,2,1,3,2,31,-4
Draymond Green,GSW,2018-11-12,LAC,201811120LAC,42.7,3,9,.333,0,2,.000,0,0,,1,13,14,1,3,0,4,3,6,-2
Kevin Durant,GSW,2018-11-12,LAC,201811120LAC,39.017,10,24,.417,2,4,.500,11,13,.846,1,10,11,10,1,2,4,6,33,+4
Quinn Cook,GSW,2018-11-12,LAC,201811120LAC,22.033,3,7,.429,1,3,.333,0,0,,1,0,1,3,1,0,2,1,7,-7
Damian Jones,GSW,2018-11-12,LAC,201811120LAC,13.5,0,1,.000,0,0,,0,0,,0,1,1,3,0,1,0,2,0,-8
Andre Iguodala,GSW,2018-11-12,LAC,201811120LAC,32.517,5,7,.714,2,3,.667,2,5,.400,1,4,5,4,0,1,1,3,14,+3
Kevon Looney,GSW,2018-11-12,LAC,201811120LAC,26.167,4,7,.571,0,0,,1,2,.500,2,2,4,2,0,2,0,4,9,+5
Shaun Livingston,GSW,2018-11-12,LAC,201811120LAC,18.5,3,4,.750,0,0,,2,3,.667,2,0,2,0,0,0,2,2,8,-9
Jonas Jerebko,GSW,2018-11-12,LAC,201811120LAC,12.367,1,1,1.000,1,1,1.000,0,0,,1,0,1,1,0,1,0,0,3,-3
Alfonzo McKinnie,GSW,2018-11-12,LAC,201811120LAC,10.767,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,0,1,2,3,-5
Jordan Bell,GSW,2018-11-12,LAC,201811120LAC,2.117,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+1
Damion Lee,GSW,2018-11-12,LAC,201811120LAC,0.0,,,,,,,,,,,,,,,,,,,
Jacob Evans,GSW,2018-11-12,LAC,201811120LAC,0.0,,,,,,,,,,,,,,,,,,,
Tobias Harris,LAC,2018-11-12,LAC,201811120LAC,42.467,7,18,.389,2,5,.400,1,2,.500,0,8,8,5,2,0,3,4,17,+5
Shai Gilgeous-Alexander,LAC,2018-11-12,LAC,201811120LAC,38.45,8,11,.727,0,3,.000,2,2,1.000,0,5,5,3,2,1,4,1,18,-3
Danilo Gallinari,LAC,2018-11-12,LAC,201811120LAC,36.917,3,12,.250,2,6,.333,6,7,.857,1,6,7,1,0,0,1,2,14,-3
Patrick Beverley,LAC,2018-11-12,LAC,201811120LAC,23.517,2,5,.400,0,0,,0,0,,1,1,2,5,1,0,0,2,4,+13
Marcin Gortat,LAC,2018-11-12,LAC,201811120LAC,20.55,4,5,.800,0,0,,4,4,1.000,2,4,6,1,1,0,0,2,12,+9
Montrezl Harrell,LAC,2018-11-12,LAC,201811120LAC,32.45,10,13,.769,0,0,,3,5,.600,2,6,8,1,1,4,2,4,23,-4
Lou Williams,LAC,2018-11-12,LAC,201811120LAC,31.75,5,18,.278,1,5,.200,14,14,1.000,0,2,2,6,2,0,2,1,25,0
Mike Scott,LAC,2018-11-12,LAC,201811120LAC,16.933,3,5,.600,0,1,.000,0,0,,0,7,7,0,1,0,0,1,6,+6
Tyrone Wallace,LAC,2018-11-12,LAC,201811120LAC,11.867,1,4,.250,0,0,,0,0,,0,2,2,1,1,0,2,1,2,0
Sindarius Thornwell,LAC,2018-11-12,LAC,201811120LAC,10.1,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,5,0,+2
Boban Marjanović,LAC,2018-11-12,LAC,201811120LAC,0.0,,,,,,,,,,,,,,,,,,,
Miloš Teodosić,LAC,2018-11-12,LAC,201811120LAC,0.0,,,,,,,,,,,,,,,,,,,
Jerome Robinson,LAC,2018-11-12,LAC,201811120LAC,0.0,,,,,,,,,,,,,,,,,,,
Kemba Walker,CHO,2018-11-13,CLE,201811130CLE,35.85,2,16,.125,1,7,.143,2,5,.400,0,4,4,6,2,1,1,0,7,-13
Jeremy Lamb,CHO,2018-11-13,CLE,201811130CLE,31.95,8,16,.500,1,4,.250,5,5,1.000,0,6,6,2,3,0,3,2,22,-24
Marvin Williams,CHO,2018-11-13,CLE,201811130CLE,29.883,3,8,.375,2,7,.286,0,0,,0,2,2,2,3,1,0,1,8,-10
Nicolas Batum,CHO,2018-11-13,CLE,201811130CLE,29.083,5,12,.417,1,4,.250,0,0,,5,0,5,3,0,0,2,3,11,-20
Cody Zeller,CHO,2018-11-13,CLE,201811130CLE,17.85,3,4,.750,0,0,,3,3,1.000,2,0,2,4,2,0,0,1,9,-4
Malik Monk,CHO,2018-11-13,CLE,201811130CLE,23.317,3,13,.231,0,8,.000,0,0,,0,2,2,2,1,0,1,0,6,-12
Dwayne Bacon,CHO,2018-11-13,CLE,201811130CLE,16.383,2,4,.500,1,2,.500,0,0,,0,3,3,0,0,0,1,1,5,0
Tony Parker,CHO,2018-11-13,CLE,201811130CLE,15.783,4,10,.400,0,3,.000,1,2,.500,1,3,4,1,0,1,0,0,9,-6
Miles Bridges,CHO,2018-11-13,CLE,201811130CLE,15.667,1,4,.250,1,3,.333,2,2,1.000,1,1,2,0,0,0,0,1,5,-10
Willy Hernangómez,CHO,2018-11-13,CLE,201811130CLE,6.617,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,0,1,2,-8
Devonte' Graham,CHO,2018-11-13,CLE,201811130CLE,6.583,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Bismack Biyombo,CHO,2018-11-13,CLE,201811130CLE,6.517,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,-5
Frank Kaminsky,CHO,2018-11-13,CLE,201811130CLE,4.517,1,2,.500,1,1,1.000,2,2,1.000,2,1,3,1,0,0,1,0,5,-1
J.R. Smith,CLE,2018-11-13,CLE,201811130CLE,39.383,5,13,.385,3,7,.429,0,0,,0,3,3,5,1,1,1,1,13,+26
Larry Nance,CLE,2018-11-13,CLE,201811130CLE,34.833,3,6,.500,1,2,.500,0,0,,3,9,12,1,1,1,1,2,7,+9
Collin Sexton,CLE,2018-11-13,CLE,201811130CLE,32.667,7,18,.389,2,2,1.000,0,0,,2,3,5,4,1,0,4,3,16,+24
Rodney Hood,CLE,2018-11-13,CLE,201811130CLE,28.6,7,12,.583,2,3,.667,0,0,,0,2,2,2,0,0,1,4,16,0
Tristan Thompson,CLE,2018-11-13,CLE,201811130CLE,28.217,5,6,.833,0,0,,1,2,.500,8,13,21,5,0,0,4,3,11,+18
Jordan Clarkson,CLE,2018-11-13,CLE,201811130CLE,27.533,9,15,.600,1,4,.250,5,5,1.000,0,5,5,2,0,1,4,1,24,+18
David Nwaba,CLE,2018-11-13,CLE,201811130CLE,26.767,7,9,.778,2,2,1.000,2,3,.667,1,4,5,2,1,0,0,3,18,+22
Andrew Harrison,CLE,2018-11-13,CLE,201811130CLE,12.8,0,3,.000,0,2,.000,2,2,1.000,0,2,2,2,0,0,1,3,2,+2
Ante Žižić,CLE,2018-11-13,CLE,201811130CLE,6.183,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,3,0,0,-1
Channing Frye,CLE,2018-11-13,CLE,201811130CLE,3.017,2,2,1.000,2,2,1.000,0,0,,0,2,2,0,1,0,0,0,6,+2
Cedi Osman,CLE,2018-11-13,CLE,201811130CLE,0.0,,,,,,,,,,,,,,,,,,,
P.J. Tucker,HOU,2018-11-13,DEN,201811130DEN,40.767,4,8,.500,4,7,.571,0,0,,0,6,6,2,1,1,1,3,12,+25
James Harden,HOU,2018-11-13,DEN,201811130DEN,36.817,7,16,.438,2,10,.200,6,8,.750,1,4,5,11,3,1,4,3,22,+13
Clint Capela,HOU,2018-11-13,DEN,201811130DEN,36.35,11,15,.733,0,0,,2,4,.500,3,6,9,2,0,1,1,4,24,+12
James Ennis,HOU,2018-11-13,DEN,201811130DEN,33.633,6,8,.750,2,4,.500,2,2,1.000,0,4,4,1,1,2,1,3,16,+9
Chris Paul,HOU,2018-11-13,DEN,201811130DEN,32.267,7,12,.583,3,7,.429,4,5,.800,0,5,5,4,2,0,3,0,21,+6
Eric Gordon,HOU,2018-11-13,DEN,201811130DEN,33.167,3,9,.333,2,7,.286,3,5,.600,0,0,0,2,0,1,2,1,11,0
Gary Clark,HOU,2018-11-13,DEN,201811130DEN,15.4,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,3,0,-12
Isaiah Hartenstein,HOU,2018-11-13,DEN,201811130DEN,11.6,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,2,3,3,-3
Marquese Chriss,HOU,2018-11-13,DEN,201811130DEN,0.0,,,,,,,,,,,,,,,,,,,
Michael Carter-Williams,HOU,2018-11-13,DEN,201811130DEN,0.0,,,,,,,,,,,,,,,,,,,
Juan Hernangómez,DEN,2018-11-13,DEN,201811130DEN,38.817,2,6,.333,2,4,.500,0,0,,1,8,9,2,0,0,0,2,6,+3
Gary Harris,DEN,2018-11-13,DEN,201811130DEN,36.35,6,13,.462,3,6,.500,0,0,,0,2,2,1,4,0,2,1,15,-10
Jamal Murray,DEN,2018-11-13,DEN,201811130DEN,34.55,7,13,.538,0,3,.000,1,1,1.000,0,1,1,5,1,0,3,1,15,-4
Nikola Jokić,DEN,2018-11-13,DEN,201811130DEN,32.983,6,14,.429,0,1,.000,2,3,.667,4,8,12,7,2,0,3,3,14,-14
Paul Millsap,DEN,2018-11-13,DEN,201811130DEN,25.65,4,8,.500,1,2,.500,4,4,1.000,0,0,0,1,2,0,3,5,13,-5
Monte Morris,DEN,2018-11-13,DEN,201811130DEN,31.017,7,11,.636,3,6,.500,2,2,1.000,0,2,2,6,0,0,2,2,19,-8
Mason Plumlee,DEN,2018-11-13,DEN,201811130DEN,14.183,1,4,.250,0,0,,2,4,.500,2,0,2,4,1,0,0,4,4,+4
Trey Lyles,DEN,2018-11-13,DEN,201811130DEN,12.717,3,4,.750,1,1,1.000,1,2,.500,0,1,1,0,1,0,1,1,8,-12
Torrey Craig,DEN,2018-11-13,DEN,201811130DEN,7.25,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,2,1,5,+2
Malik Beasley,DEN,2018-11-13,DEN,201811130DEN,6.483,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,-6
Tyler Lydon,DEN,2018-11-13,DEN,201811130DEN,0.0,,,,,,,,,,,,,,,,,,,
DeVaughn Akoon-Purcell,DEN,2018-11-13,DEN,201811130DEN,0.0,,,,,,,,,,,,,,,,,,,
Taurean Waller-Prince,ATL,2018-11-13,GSW,201811130GSW,39.35,8,14,.571,4,7,.571,2,2,1.000,0,4,4,4,0,0,2,3,22,-2
Alex Len,ATL,2018-11-13,GSW,201811130GSW,32.0,6,8,.750,0,0,,2,5,.400,2,5,7,1,0,0,1,5,14,-8
Trae Young,ATL,2018-11-13,GSW,201811130GSW,27.5,2,12,.167,0,5,.000,0,0,,0,5,5,9,3,0,3,2,4,-11
Kent Bazemore,ATL,2018-11-13,GSW,201811130GSW,26.833,7,16,.438,1,4,.250,3,3,1.000,0,2,2,1,1,0,1,2,18,-7
Omari Spellman,ATL,2018-11-13,GSW,201811130GSW,14.233,0,3,.000,0,2,.000,0,0,,1,2,3,0,0,0,1,0,0,-9
Alex Poythress,ATL,2018-11-13,GSW,201811130GSW,20.6,2,5,.400,0,1,.000,0,0,,3,5,8,0,0,0,0,2,4,+4
Jeremy Lin,ATL,2018-11-13,GSW,201811130GSW,20.5,4,9,.444,2,5,.400,0,0,,1,2,3,4,1,0,2,2,10,+4
Vince Carter,ATL,2018-11-13,GSW,201811130GSW,17.383,4,7,.571,3,5,.600,0,0,,1,5,6,3,0,0,1,0,11,0
DeAndre' Bembry,ATL,2018-11-13,GSW,201811130GSW,16.533,4,7,.571,2,3,.667,3,3,1.000,1,0,1,1,3,1,1,2,13,-5
Kevin Huerter,ATL,2018-11-13,GSW,201811130GSW,13.717,1,4,.250,0,0,,0,0,,0,2,2,0,1,0,2,0,2,0
Miles Plumlee,ATL,2018-11-13,GSW,201811130GSW,11.35,2,4,.500,0,0,,1,2,.500,1,0,1,2,0,1,0,0,5,-1
Daniel Hamilton,ATL,2018-11-13,GSW,201811130GSW,0.0,,,,,,,,,,,,,,,,,,,
Tyler Dorsey,ATL,2018-11-13,GSW,201811130GSW,0.0,,,,,,,,,,,,,,,,,,,
Klay Thompson,GSW,2018-11-13,GSW,201811130GSW,38.267,8,19,.421,3,7,.429,5,5,1.000,0,5,5,4,3,0,1,0,24,+12
Kevin Durant,GSW,2018-11-13,GSW,201811130GSW,36.517,9,23,.391,0,3,.000,11,11,1.000,0,6,6,3,2,1,4,3,29,-7
Quinn Cook,GSW,2018-11-13,GSW,201811130GSW,33.533,8,18,.444,2,7,.286,0,0,,2,2,4,6,0,0,2,2,18,+5
Jonas Jerebko,GSW,2018-11-13,GSW,201811130GSW,24.65,5,10,.500,4,7,.571,0,0,,4,9,13,2,0,0,0,3,14,+23
Damian Jones,GSW,2018-11-13,GSW,201811130GSW,17.617,1,1,1.000,0,0,,0,0,,2,3,5,2,1,1,1,3,2,+7
Andre Iguodala,GSW,2018-11-13,GSW,201811130GSW,25.717,3,5,.600,2,2,1.000,0,0,,1,4,5,5,0,0,2,1,8,+2
Kevon Looney,GSW,2018-11-13,GSW,201811130GSW,19.2,1,2,.500,0,0,,2,3,.667,2,1,3,3,1,2,1,3,4,-2
Alfonzo McKinnie,GSW,2018-11-13,GSW,201811130GSW,17.467,1,3,.333,1,1,1.000,0,0,,1,3,4,0,1,0,1,1,3,-11
Shaun Livingston,GSW,2018-11-13,GSW,201811130GSW,15.85,1,6,.167,0,0,,0,0,,0,1,1,2,0,0,0,1,2,+4
Jordan Bell,GSW,2018-11-13,GSW,201811130GSW,11.183,2,4,.500,0,0,,2,2,1.000,1,1,2,1,0,2,1,3,6,+2
Jacob Evans,GSW,2018-11-13,GSW,201811130GSW,0.0,,,,,,,,,,,,,,,,,,,
Damion Lee,GSW,2018-11-13,GSW,201811130GSW,0.0,,,,,,,,,,,,,,,,,,,
Joel Embiid,PHI,2018-11-14,ORL,201811140ORL,35.8,6,20,.300,4,7,.571,3,4,.750,0,13,13,10,0,2,2,2,19,+2
J.J. Redick,PHI,2018-11-14,ORL,201811140ORL,33.333,8,13,.615,4,7,.571,2,2,1.000,0,4,4,6,0,0,4,3,22,+8
Jimmy Butler,PHI,2018-11-14,ORL,201811140ORL,32.917,6,12,.500,0,1,.000,2,2,1.000,1,3,4,2,0,0,2,3,14,-10
Ben Simmons,PHI,2018-11-14,ORL,201811140ORL,31.417,3,5,.600,0,0,,3,5,.600,0,3,3,6,0,1,1,3,9,-12
Wilson Chandler,PHI,2018-11-14,ORL,201811140ORL,23.233,6,10,.600,2,4,.500,0,0,,3,1,4,0,1,0,1,2,14,+2
Mike Muscala,PHI,2018-11-14,ORL,201811140ORL,26.3,2,6,.333,1,4,.250,0,2,.000,3,2,5,2,0,0,2,4,5,-4
Markelle Fultz,PHI,2018-11-14,ORL,201811140ORL,20.75,4,6,.667,0,0,,0,0,,2,1,3,2,0,0,1,3,8,0
Furkan Korkmaz,PHI,2018-11-14,ORL,201811140ORL,15.083,3,7,.429,2,2,1.000,0,0,,0,3,3,1,1,0,0,0,8,+5
Landry Shamet,PHI,2018-11-14,ORL,201811140ORL,14.767,3,7,.429,1,4,.250,0,0,,1,0,1,1,0,0,0,1,7,-15
Amir Johnson,PHI,2018-11-14,ORL,201811140ORL,6.4,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,0,0,-1
Demetrius Jackson,PHI,2018-11-14,ORL,201811140ORL,0.0,,,,,,,,,,,,,,,,,,,
T.J. McConnell,PHI,2018-11-14,ORL,201811140ORL,0.0,,,,,,,,,,,,,,,,,,,
Jonah Bolden,PHI,2018-11-14,ORL,201811140ORL,0.0,,,,,,,,,,,,,,,,,,,
Nikola Vučević,ORL,2018-11-14,ORL,201811140ORL,39.317,10,19,.526,3,6,.500,7,8,.875,0,8,8,4,2,0,1,1,30,+21
Aaron Gordon,ORL,2018-11-14,ORL,201811140ORL,31.767,7,13,.538,1,3,.333,2,3,.667,0,6,6,6,1,2,1,4,17,0
D.J. Augustin,ORL,2018-11-14,ORL,201811140ORL,31.167,1,6,.167,0,3,.000,2,3,.667,0,0,0,9,0,0,0,1,4,+3
Evan Fournier,ORL,2018-11-14,ORL,201811140ORL,27.683,4,12,.333,1,5,.200,0,0,,2,2,4,0,0,0,4,4,9,-3
Wesley Iwundu,ORL,2018-11-14,ORL,201811140ORL,18.733,4,5,.800,1,1,1.000,2,2,1.000,0,1,1,0,2,0,0,0,11,-5
Terrence Ross,ORL,2018-11-14,ORL,201811140ORL,31.117,6,9,.667,3,5,.600,0,0,,0,6,6,1,1,0,2,1,15,+13
Jonathon Simmons,ORL,2018-11-14,ORL,201811140ORL,18.583,3,4,.750,2,2,1.000,4,4,1.000,0,1,1,1,0,0,1,5,12,+5
Jerian Grant,ORL,2018-11-14,ORL,201811140ORL,16.717,2,3,.667,1,2,.500,0,0,,0,0,0,2,1,0,1,3,5,+2
Jonathan Isaac,ORL,2018-11-14,ORL,201811140ORL,16.233,1,3,.333,0,0,,2,2,1.000,2,5,7,0,0,2,0,0,4,+5
Mohamed Bamba,ORL,2018-11-14,ORL,201811140ORL,8.683,2,6,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,2,4,-16
Khem Birch,ORL,2018-11-14,ORL,201811140ORL,0.0,,,,,,,,,,,,,,,,,,,
Isaiah Briscoe,ORL,2018-11-14,ORL,201811140ORL,0.0,,,,,,,,,,,,,,,,,,,
